Authors,Title,Publication,Volume,Issue,Pages,Year,Publisher
"Santiago, Gerardo Pérez; Otero-Colina, Gabriel; Sánchez, David Mota; Guzmán, Martha Elva Ramírez; Vandame, Rémy; ",Comparing effects of three acaricides on Varroa jacobsoni (Acari: Varroidae) and Apis mellifera (Hymenoptera: Apidae) using two application techniques,Florida Entomologist,,,468-476,2000,JSTOR
"Sabahi, Qodratollah; Morfin, Nuria; Emsen, Berna; Gashout, Hanan A; Kelly, Paul G; Otto, Stephanie; Merrill, A Rod; Guzman-Novoa, Ernesto; ","Evaluation of dry and wet formulations of oxalic acid, thymol, and oregano oil for varroa mite (Acari: Varroidae) control in honey bee (Hymenoptera: Apidae) colonies",Journal of Economic Entomology,113,6,2588-2594,2020,Oxford University Press US
"Schödl, Isabel; Odemer, Richard; Becher, Matthias A; Berg, Stefan; Otten, Christoph; Grimm, Volker; Groeneveld, Jürgen; ",Simulation of Varroa mite control in honey bee colonies without synthetic acaricides: Demonstration of Good Beekeeping Practice for Germany in the BEEHAVE model,Ecology and Evolution,12,11,e9456,2022,Wiley Online Library
"Delaplane, Keith S; Hood, W Michael; ",Effects of delayed acaricide treatment in honey bee colonies parasitized by Varroa jacobsoni and a late-season treatment threshold for the south-eastern USA,Journal of Apicultural Research,36,03-Apr,125-132,1997,Taylor & Francis
"Milani, Norberto; ",The resistance of Varroa jacobsoni Oud. to acaricides,Apidologie,30,02-Mar,229-234,1999,EDP Sciences
"Greatti, M; Milani, N; Nazzi, F; ",Reinfestation of an acaricide-treated apiary by Varroa jacobsoni Oud,Experimental & applied acarology,16,,279-286,1992,Kluwer Academic Publishers
"Delaplane, Keith S; Hood, W Michael; ",Economic threshold for Varroa jacobsoni Oud. in the southeastern USA,Apidologie,30,5,383-395,1999,EDP Sciences
"Colin, ME; Vandame, Rémy; Jourdam, P; Di Pasquale, Sébastien; ",Fluvalinate resistance of Varroa jacobsoni Oudemans (Acari: Varroidae) in mediterranean apiaries of France,Apidologie,28,6,375-384,1997,EDP Sciences
"Van Buren, Nicolette WM; Mariën, Janine; Velthuis, Hayo HW; Oudejans, Rob CHM; ","Residues in beeswax and honey of Perizin, an acaricide to combat the mite Varroa jacobsoni Oudemans (Acari: Mesostigmata)",Environmental entomology,21,4,860-865,1992,"Oxford University Press Oxford, UK"
"Fries, Ingemar; Camazine, Scott; Sneyd, James; ",Population dynamics of Varroa jacobsoni: a model and a review,Bee world,75,1,May-28,1994,Taylor & Francis
"Lodesani, Marco; Pellacani, A; Bergomi, S; Carpana, Emanuele; Rabitti, T; Lasagni, P; ",Residue determination for some products used against Varroa infestation in bees,Apidologie,23,3,257-272,1992,EDP Sciences
